Date,Original,last 10 years model prediction
2019-06-25,11796.450195312498,11920.33203125
2019-06-26,11847.5498046875,11834.7919921875
2019-06-27,11841.5498046875,11886.591796875
2019-06-28,11788.849609374998,11978.66796875
2019-07-01,11865.599609375,12000.48046875
2019-07-02,11910.299804687498,11930.9501953125
2019-07-03,11916.75,11985.4775390625
2019-07-04,11946.75,12016.8271484375
2019-07-05,11811.150390625,12052.2626953125
2019-07-08,11558.599609375,12073.3544921875
2019-07-09,11555.900390625,11981.537109375
2019-07-10,11498.900390625,11706.3203125
2019-07-11,11582.900390625,11655.537109375
2019-07-12,11552.5,11709.294921875
2019-07-15,11588.349609375,11754.0615234375
2019-07-16,11662.599609375,11753.4150390625
2019-07-17,11687.5,11735.3173828125
2019-07-18,11596.900390625,11784.5712890625
2019-07-19,11419.25,11834.8291015625
2019-07-22,11346.2001953125,11748.2958984375
2019-07-23,11331.0498046875,11599.892578125
2019-07-24,11271.2998046875,11461.80859375
2019-07-25,11252.150390625,11512.8037109375
2019-07-26,11284.2998046875,11455.537109375
2019-07-29,11189.2001953125,11449.724609375
2019-07-30,11085.400390625,11426.779296875
2019-07-31,11118.0,11383.9794921875
2019-08-01,10980.0,11283.94140625
2019-08-02,10997.349609375,11219.72265625
2019-08-05,10862.599609375,11143.607421875
2019-08-06,10948.25,11123.912109375
2019-08-07,10855.5,11010.5087890625
2019-08-08,11032.4501953125,11084.630859375
2019-08-09,11109.650390625,11071.017578125
2019-08-13,10925.849609375,11119.75390625
2019-08-14,11029.400390625,11291.955078125
2019-08-16,11047.7998046875,11117.115234375
2019-08-19,11053.900390625,11114.095703125
2019-08-20,11017.0,11155.064453125
2019-08-21,10918.7001953125,11228.4287109375
2019-08-22,10741.349609375,11153.6962890625
2019-08-23,10829.349609375,11077.3984375
2019-08-26,11057.849609375,10911.0849609375
2019-08-27,11105.349609375,10899.3876953125
2019-08-28,11046.099609375,11163.416015625
2019-08-29,10948.2998046875,11282.4814453125
2019-08-30,11023.25,11175.4140625
2019-09-03,10797.900390625,11062.1484375
2019-09-04,10844.650390625,11103.2177734375
2019-09-05,10847.900390625,10982.087890625
2019-09-06,10946.2001953125,10937.4931640625
2019-09-09,11003.0498046875,11033.0146484375
2019-09-11,11035.7001953125,11083.4033203125
2019-09-12,10982.7998046875,11122.572265625
2019-09-13,11075.900390625,11181.4130859375
2019-09-16,11003.5,11137.55078125
2019-09-17,10817.599609375,11143.861328125
2019-09-18,10840.650390625,11137.2158203125
2019-09-19,10704.7998046875,10993.908203125
2019-09-20,11274.2001953125,10968.62109375
2019-09-23,11600.2001953125,10893.0869140625
2019-09-24,11588.2001953125,11235.1630859375
2019-09-25,11440.2001953125,11833.21484375
2019-09-26,11571.2001953125,11683.5087890625
2019-09-27,11512.400390625,11500.947265625
2019-09-30,11474.4501953125,11603.37109375
2019-10-01,11359.900390625,11642.1630859375
2019-10-03,11314.0,11549.4140625
2019-10-04,11174.75,11499.736328125
2019-10-07,11126.400390625,11426.9091796875
2019-10-09,11313.2998046875,11399.5107421875
2019-10-10,11234.5498046875,11293.8056640625
2019-10-11,11305.0498046875,11398.982421875
2019-10-14,11341.150390625,11431.7724609375
2019-10-15,11428.2998046875,11429.7763671875
2019-10-16,11464.0,11501.3701171875
2019-10-17,11586.349609375,11545.255859375
2019-10-18,11661.849609375,11589.7353515625
2019-10-22,11588.349609375,11658.55859375
